804X ;47X ;0.200246X ;0.0100014X ;0.122644X ;3.2817e-06X ;73
215X ;49X ;0.200079X ;0.0100001X ;0.122511X ;3.28212e-06X ;80
994X ;22X ;0.200067X ;0.0100002X ;0.122507X ;3.28208e-06X ;78
285X ;25X ;0.200036X ;0.00999997X ;0.122481X ;3.28216e-06X ;67
664X ;18X ;0.200061X ;0.0100003X ;0.122504X ;3.28206e-06X ;10
747X ;16X ;0.200075X ;0.0100122X ;0.122805X ;3.27815e-06X ;22
850X ;12X ;0.2X ;0.0100031X ;0.122536X ;3.28114e-06X ;18
800X ;41X ;0.200564X ;0.010007X ;0.122976X ;3.27987e-06X ;12
410X ;14X ;0.200019X ;0.0100001X ;0.122474X ;3.28212e-06X ;78
646X ;50X ;0.20008X ;0.0100029X ;0.12258X ;3.2812e-06X ;73
