7.81867X ;-6.19144X ;1.00001x ;2.99999x ;8,63508e-11; x ;1x ;134x ;1x ;3x ;3,6273e-12; x ;1x ;43x ;1.00001x ;2.99998x ;4,43534e-10; x ;1x ;260x ;260x 
-3.03835X ;-4.39959X ;1.00001x ;2.99999x ;8,97845e-11; x ;1x ;119x ;1x ;3x ;3,31394e-12; x ;1x ;40x ;0.999991x ;2.99998x ;3,17834e-09; x ;1x ;254x ;254x 
-1.66879X ;1.78933X ;0.999993x ;3.00001x ;9,1181e-11; x ;1x ;111x ;0.999999x ;3x ;2,7341e-12; x ;1x ;38x ;0.999982x ;2.99999x ;3,17155e-09; x ;1x ;233x ;233x 
5.00671X ;3.97328X ;1.00001x ;2.99999x ;9,02783e-11; x ;1x ;118x ;1x ;3x ;2,41241e-12; x ;1x ;40x ;1.00002x ;3x ;2,61275e-09; x ;1x ;240x ;240x 
0.134368X ;-0.0370872X ;1.00001x ;2.99999x ;8,70491e-11; x ;1x ;115x ;1x ;3x ;2,62872e-12; x ;1x ;39x ;0.999995x ;2.99998x ;2,66245e-09; x ;1x ;235x ;235x 
7.7026X ;7.70731X ;1.00001x ;2.99999x ;9,0738e-11; x ;1x ;114x ;1x ;3x ;2,53593e-12; x ;1x ;39x ;1.00002x ;3.00001x ;3,48295e-09; x ;1x ;253x ;253x 
-8.02417X ;-2.8654X ;0.999993x ;3.00001x ;9,78938e-11; x ;1x ;118x ;0.999999x ;3x ;2,98094e-12; x ;1x ;40x ;0.999984x ;2.99999x ;3,21014e-09; x ;1x ;259x ;259x 
5.17006X ;-1.57517X ;1.00001x ;2.99999x ;9,12243e-11; x ;1x ;128x ;1x ;3x ;3,82076e-12; x ;1x ;41x ;1.00001x ;2.99999x ;3,85729e-10; x ;1x ;248x ;248x 
2.72526X ;2.88465X ;1.00001x ;2.99999x ;9,53269e-11; x ;1x ;113x ;1x ;3x ;3,29511e-12; x ;1x ;38x ;1.00002x ;3x ;1,71789e-09; x ;1x ;223x ;223x 
-2.1521X ;-9.89172X ;1.00001x ;2.99999x ;9,1651e-11; x ;1x ;129x ;1x ;3x ;2,5442e-12; x ;1x ;43x ;0.999995x ;2.99998x ;2,5611e-09; x ;1x ;263x ;263x 
4.06336X ;9.28903X ;0.999994x ;3.00001x ;8,2688e-11; x ;1x ;119x ;0.999999x ;3x ;3,00974e-12; x ;1x ;40x ;1.00001x ;3.00002x ;3,21452e-09; x ;1x ;250x ;250x 
-7.0899X ;-4.5769X ;0.999993x ;3.00001x ;9,28351e-11; x ;1x ;101x ;0.999999x ;3x ;3,74211e-12; x ;1x ;35x ;0.999986x ;2.99999x ;3,53676e-09; x ;1x ;259x ;259x 
-9.01496X ;0.264897X ;0.999993x ;3.00001x ;9,6348e-11; x ;1x ;126x ;0.999999x ;3x ;3,02503e-12; x ;1x ;42x ;0.999981x ;2.99999x ;2,6892e-09; x ;1x ;258x ;258x 
3.54536X ;-0.913821X ;1.00001x ;2.99999x ;9,36412e-11; x ;1x ;125x ;1x ;3x ;2,93474e-12; x ;1x ;41x ;1.00001x ;2.99998x ;5,36366e-10; x ;1x ;242x ;242x 
-4.03778X ;-1.15061X ;0.999993x ;3.00001x ;9,68082e-11; x ;1x ;106x ;0.999999x ;3x ;2,34799e-12; x ;1x ;37x ;0.999985x ;2.99999x ;3,39664e-09; x ;1x ;249x ;249x 
1.40108X ;6.29823X ;0.999994x ;3.00001x ;8,23495e-11; x ;1x ;118x ;0.999999x ;3x ;4,24766e-12; x ;1x ;39x ;1x ;3.00002x ;2,22937e-09; x ;1x ;236x ;236x 
-1.02328X ;-6.10537X ;1.00001x ;2.99999x ;9,11842e-11; x ;1x ;126x ;1x ;3x ;2,78265e-12; x ;1x ;42x ;0.999996x ;2.99998x ;2,5366e-09; x ;1x ;256x ;256x 
-4.40774X ;1.69909X ;0.999993x ;3.00001x ;8,79399e-11; x ;1x ;121x ;0.999998x ;3x ;4,41611e-12; x ;1x ;40x ;0.999981x ;3x ;2,5631e-09; x ;1x ;246x ;246x 
-8.70915X ;-0.209869X ;0.999993x ;3.00001x ;9,48076e-11; x ;1x ;125x ;0.999999x ;3x ;2,4818e-12; x ;1x ;42x ;0.999982x ;2.99999x ;2,73936e-09; x ;1x ;258x ;258x 
6.31436X ;-8.14182X ;1.00001x ;2.99999x ;9,12295e-11; x ;1x ;134x ;1x ;3x ;2,19248e-12; x ;1x ;44x ;1.00001x ;2.99998x ;7,51621e-10; x ;1x ;261x ;261x 
4.10521X ;4.98893X ;1.00001x ;2.99999x ;8,14511e-11; x ;1x ;109x ;1x ;3x ;3,64205e-12; x ;1x ;37x ;1.00002x ;3.00001x ;3,24081e-09; x ;1x ;238x ;238x 
1.04089X ;-3.52022X ;1.00001x ;2.99999x ;9,66199e-11; x ;1x ;125x ;1x ;3x ;2,06473e-12; x ;1x ;42x ;1x ;2.99998x ;1,87949e-09; x ;1x ;249x ;249x 
-0.39494X ;9.04009X ;0.999994x ;3.00001x ;8,14043e-11; x ;1x ;127x ;0.999999x ;3x ;2,3406e-12; x ;1x ;42x ;0.999996x ;3.00002x ;1,23441e-09; x ;1x ;248x ;248x 
